gene,importance
COL13A1,0.007151916676119072
RAG2,0.006815949123682978
XBP1,0.0067133082078072465
PTGS2,0.006640635164974406
SIRPG,0.006380234851790279
TRAT1,0.0062302355534114475
PDCD1,0.006226762820374986
IRF4,0.006082646570919432
COL3A1,0.005954036679025751
GZMK,0.005881608540182467
IGHG3,0.005769448790307462
LAIR1,0.005423109580431622
CD3D,0.005155633038492609
CALHM6,0.0051452194032379295
C9,0.0048387167788931755
CAV1,0.004459199445021467
STAT3,0.004017452193616134
CD207,0.003941844128253329
IGLC1,0.003743841868926899
MAPK3,0.0033791277753629587
IRS1,0.0032965209033954863
CD274,0.0032409734478797774
TNFSF9,0.002831000183944203
NOD2,0.002546381304730511
CD27,0.0021431001399865135
FLT3,0.00206253341369014
IFNG,0.0019553093538684876
S100B,0.0019163244512526447
IGFBP1,0.0019157876031631136
CCL22,0.0018996294708412713
PIN1,0.0018760652682312045
CD84,0.0017919689112119623
KLF2,0.001683580829316013
PRDM1,0.001650218488206409
HAVCR2,0.0015927152342032653
CDKN1A,0.0014595494439841605
IGFL1,0.0014208029505394489
EDA,0.0009160405757528608
FAM30A,0.0007190626515174002
ALDH3A2,0.0006608126579366771
MAP3K1,0.0006398983202812087
EPO,0.0005866664781275919
MYBL1,0.0004760130443171352
THBS1,0.0003712285930396456
LRP2,0.00029914996951507187
TLR7,0.00025548505905113395
SLC25A15,0.0002446761738477928
KIR3DL2,0.00023768867130621
CD28,0.0
IFNGR2,0.0
SERTAD1,0.0
LIF,0.0
FN1,0.0
PVR,0.0
IL2,0.0
IL17F,0.0
IL17RA,0.0
IL15,0.0
TLR3,0.0
LOX,0.0
RHOJ,0.0
IRF6,0.0
BMP4,0.0
EMP3,0.0
IL27RA,0.0
MS4A4A,0.0
AGT,0.0
TGFBR2,0.0
PAX5,0.0
BCL2L1,0.0
TNFSF4,0.0
FKBP1A,0.0
CITED4,0.0
ACTA2,0.0
F3,0.0
RPS6KB1,0.0
NFATC2,0.0
MYB,0.0
NPDC1,0.0
ABCE1,0.0
ADORA2A,0.0
CD82,0.0
MT2A,0.0
SLC12A3,0.0
ABCA1,0.0
PSTPIP1,0.0
SFTPB,0.0
CD24,0.0
RXRA,0.0
CD45R0,0.0
MEGF11,0.0
IDO1,0.0
ASB15,0.0
VEGFA,0.0
IL18BP,0.0
CRP,0.0
NOX4,0.0
AGER,0.0
EZH2,0.0
ACVRL1,0.0
CH25H,0.0
NFKBIA,0.0
CD70,0.0
NFATC1,0.0
BCL2L11,0.0
SLPI,0.0
LDLR,0.0
SDC1,0.0
PPM1F,0.0
MICB,0.0
CXCL2,0.0
