model,field,group,n,positives,negatives,prevalence,threshold,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,roc_auc,average_precision,brier,mean_score,No Rejection,Antibody-mediated Rejection,T cell-mediated Rejection,Mixed Rejection,miss_rate,false_flag_rate,miss_wilson_lower,miss_wilson_upper,false_flag_wilson_lower,false_flag_wilson_upper
catboost_all_depth4,CartridgeID,V20211219-G026-2,12,8,4,0.6666666666666666,0.8765880870219778,8,0,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015834110014216612,0.6807520279990564,4,2,4,2,0.0,0.0,0.0,0.32440756488388023,0.0,0.4898908364545973
catboost_all_depth4,CartridgeID,V20211219-G027-3,12,7,5,0.5833333333333334,0.8765880870219778,6,1,0,5,0.8571428571428571,1.0,1.0,0.8333333333333334,0.9166666666666666,1.0,0.9999999999999998,0.006003421338364299,0.5796801694239643,5,2,4,1,0.14285714285714285,0.0,0.02567962434474355,0.5131278292743189,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211219-G028-4,12,7,5,0.5833333333333334,0.8765880870219778,7,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.021437018509455535,0.6190878244497012,5,2,4,1,0.0,0.0,5.551115123125783e-17,0.35433043506668743,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211221-G029-1,12,3,9,0.25,0.8765880870219778,1,2,0,9,0.3333333333333333,1.0,1.0,0.8181818181818182,0.8333333333333334,0.5925925925925926,0.5833333333333333,0.22236662001843366,0.28561138421162324,9,2,1,0,0.6666666666666666,0.0,0.2076596008020477,0.9385080552796037,0.0,0.2991450484195441
catboost_all_depth4,CartridgeID,V20211221-G030-2,11,2,9,0.18181818181818182,0.8765880870219778,2,0,0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07914373555979938,0.3099835683228123,9,1,1,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.2991450484195441
catboost_all_depth4,CartridgeID,V20211221-G031-3,11,1,10,0.09090909090909091,0.8765880870219778,1,0,1,9,1.0,0.9,0.5,1.0,0.9090909090909091,1.0,1.0,0.10691494214719005,0.2927178512653259,10,1,0,0,0.0,0.1,0.0,0.7934506856227626,0.017876213095072896,0.4041500267952385
catboost_all_depth4,ScannerID,2010C0748,345,169,176,0.48985507246376814,0.8765880870219778,144,25,8,168,0.8520710059171598,0.9545454545454546,0.9473684210526315,0.8704663212435233,0.9043478260869565,0.9687668101129641,0.9715838816061155,0.07828898075276164,0.5265172152727765,176,56,95,18,0.14792899408284024,0.045454545454545456,0.10225021314643512,0.20925756506868232,0.02320977688004896,0.08711772463603079
logistic_all,Date,20211130,91,48,43,0.5274725274725275,0.8536733723106492,38,10,4,39,0.7916666666666666,0.9069767441860465,0.9047619047619048,0.7959183673469388,0.8461538461538461,0.9326550387596899,0.9372117076094956,0.10859210283237862,0.5548408437996506,43,16,26,6,0.20833333333333334,0.09302325581395349,0.11730272957905595,0.34258901272617925,0.03677164063171276,0.21602703641253587
logistic_all,Date,20211201,43,21,22,0.4883720930232558,0.8536733723106492,15,6,2,20,0.7142857142857143,0.9090909090909091,0.8823529411764706,0.7692307692307693,0.813953488372093,0.91991341991342,0.9262793863984342,0.1195900500299911,0.5270155412749443,22,6,13,2,0.2857142857142857,0.09090909090909091,0.1381386295212213,0.49956380716085597,0.025295428990995267,0.27814946841605814
logistic_all,Date,20211202,43,21,22,0.4883720930232558,0.8536733723106492,19,2,1,21,0.9047619047619048,0.9545454545454546,0.95,0.9130434782608695,0.9302325581395349,0.9653679653679652,0.9702450570871626,0.0893002648302107,0.5604911377700589,22,7,13,1,0.09523809523809523,0.045454545454545456,0.02651876743807452,0.2891413907391826,0.00806942762126385,0.21798045838657332
