repeat,seed,model,family,complexity,n,positives,threshold,tn,fp,fn,tp,sensitivity,specificity,ppv,npv,roc_auc,average_precision,fit_seconds,reload_max_abs_difference
18,20260934,logistic_C0.01,logistic,0.01,210,139,0.7489201316497291,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9834836356267098,0.9906987388171503,0.030477299995254725,0.0
18,20260934,logistic_C0.1,logistic,0.1,210,139,0.7770616637111198,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9795318674637754,0.9885802918679453,0.03800389998650644,0.0
18,20260934,logistic_C1,logistic,1.0,210,139,0.795711798276188,64,7,13,126,0.9064748201438849,0.9014084507042254,0.9473684210526315,0.8311688311688312,0.974972134968082,0.9860993068437339,0.043248300004052,0.0
18,20260934,catboost_depth4,catboost,4.0,210,139,0.8753241434831157,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9841929273482622,0.9914850457274915,7.256831200007582,0.0
18,20260934,catboost_depth6,catboost,6.0,210,139,0.9334194296509558,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9843955821258485,0.9915999863122317,23.71757749999233,0.0
19,20260935,logistic_C0.01,logistic,0.01,210,139,0.7706569442326363,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9817610700172256,0.9913528976858252,0.034002699991106056,0.0
19,20260935,logistic_C0.1,logistic,0.1,210,139,0.7421247469635129,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9796331948525686,0.9896804281530854,0.039248599990969524,0.0
19,20260935,logistic_C1,logistic,1.0,210,139,0.8099429870703023,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9761880636336002,0.9875020926957171,0.04049849999137223,0.0
19,20260935,catboost_depth4,catboost,4.0,210,139,0.8881792895473163,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9837876177930895,0.9922514555257428,7.274741599991103,0.0
19,20260935,catboost_depth6,catboost,6.0,210,139,0.9038039412669434,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9838889451818826,0.991832650681773,23.935446599993156,0.0
20,20260936,logistic_C0.01,logistic,0.01,210,139,0.7584883283513129,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.973452224136184,0.9809948915047291,0.0317096000071615,0.0
20,20260936,logistic_C0.1,logistic,0.1,210,139,0.7983727855965231,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9768973553551525,0.9834670404046514,0.045577299999422394,0.0
20,20260936,logistic_C1,logistic,1.0,210,139,0.8736210713312639,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9764920457999798,0.9841243651028982,0.04477740000584163,0.0
20,20260936,catboost_depth4,catboost,4.0,210,139,0.8467171624281559,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9741615158577364,0.9834540708857967,7.36636400000134,0.0
20,20260936,catboost_depth6,catboost,6.0,210,139,0.9037905773072104,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9814570878508462,0.9895864478070581,23.92060979999951,0.0
